id,code,name,user_type_id/id,tax_ids/id,currency_id/id,reconcile,deprecated
__setup__.account_account_meteotest_2210,2210,LÖ Kreditoren Löhne,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2220,2220,Fonds zur Förderung wissenschaftlicher Arbeiten,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2261,2261,Beschlossene Ausschüttungen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2270,2270,Sozialversicherungen und Vorsorgeeinrichtungen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2279,2279,Kontokorrent Quellensteuer,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2300,2300,Noch nicht bezahlter Aufwand,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2301,2301,Erhaltener Ertrag des Folgejahrs,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2330,2330,Kurzfristige Rückstellungen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2400,2400,Bankverbindlichkeiten,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2420,2420,Verbindlichkeiten aus Finanzierungsleasing,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2430,2430,Obligationenanleihen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2440,2440,Hypothek,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2450,2450,Baukredit,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2451,2451,Hypotheken,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2500,2500,Übrige langfristige Verbindlichkeiten,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2600,2600,Rückstellungen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2620,2620,LÖ Rückstellung für betriebliebliche Umstrukturierung,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2630,2630,Rückstellung für Garantieverpflichtungen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2650,2650,Rückstellung für Rep. und Unterh. Muesmatt,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2652,2652,Rückstellung für Forschung und Entwicklung,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2800,2800,Anteilscheinkapital,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2900,2900,Gesetzliche Kapitalreserve,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2940,2940,Aufwertungsreserve,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2950,2950,Gesetzliche Gewinnreserve,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2960,2960,Statutarische Gewinnreserve,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2961,2961,Beschlussmässige Gewinnreserve,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2962,2962,Freiwillige Gewinnreserve,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2970,2970,Gewinnvortrag,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2979,2979,Jahresgewinn,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_2980,2980,Eigene Anteilscheine,account.data_account_type_equity,,,False,False
__setup__.account_account_meteotest_3000,3000,Produktionserlöse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3009,3009,Erlösminderungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3200,3200,Handelserlöse,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3400,3400,Dienstleistungsertrag 8%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3401,3401,Leistungen im Ausland 0%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3402,3402,Forschungsbeträge/Subv. 0%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3403,3403,Referententätigkeiten 0%,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3407,3407,Bruttoerlöse aus Nebenleistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3408,3408,Bestandesänderungen Forderungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3495,3495,"Verluste Forderungen, Veränderung WB",account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3496,3496,Kursdifferenzen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3497,3497,"Rabatte, Skonto",account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3600,3600,Übrige Erlöse aus Lieferungen und Leistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3700,3700,Eigenleistungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3710,3710,Eigenverbrauch,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3800,3800,Erlösminderungen,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3801,3801,Rabais et réduction de prix,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3802,3802,Ristournes,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3803,3803,Commissions de tiers,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3804,3804,Frais d'encaissement,account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3805,3805,"Verluste Forderungen (Debitoren), Veränderung Delkredere",account.data_account_type_revenue,,,False,False
__setup__.account_account_meteotest_3806,3806,Différences de change,account.data_account_type_revenue,,,False,False
